fileName,FPDT-TCP-C2FP,FPDT-TCP-ITF,FPDT-TCP-QS,FPDT-TCP
TTL_1_2,0.5329105,0.2165611,0.22929996,0.19957593
TTL_1_3,0.24401979,0.23923518,0.26315856,0.22248872
TTL_1_4,0.25119683,0.23923518,0.27631647,0.2416275
TTL_1_5,0.21519046,0.20253225,0.24810195,0.20253223
TTL_1_6,0.47129992,0.051359635,0.10271927,0.051359627
TTL_1_7,0.49244803,0.1117827,0.4894269,0.37462312
TTL_1_8,0.5075538,0.39577115,0.63746357,0.5166174
TTL_1_9,0.6314212,0.5226596,0.64350593,0.51963854
TTL_2_3,0.1883123,0.051948186,0.056277193,0.051948186
TTL_2_4,0.5757594,0.18181872,0.18614767,0.18181871
TTL_2_5,0.58064702,0.124424258,0.14170543,0.118663873
TTL_2_6,0.08196741,0.005464496,0.005464493,0.005464496
TTL_2_7,0.5245915,0.26229554,0.180328135,0.232240885
TTL_2_8,0.75136775,0.53552043,0.4890718,0.5191269
TTL_2_9,0.75136775,0.5437172,0.49726835,0.53825265
TTL_3_4,0.60833514,0.060000144,0.06500015,0.060000144
TTL_3_5,0.12323995,0.003521138,0.008802848,0.003521138
TTL_3_6,0.02755916,0.001968511,0.001968511,0.001968511
TTL_3_7,0.02755916,0.005905525,0.01377956,0.005905525
TTL_3_8,0.5807104,0.42913544,0.44685185,0.41338733
TTL_3_9,0.57905304,0.42885533,0.45454693,0.41106862
TTL_4_5,0.14009725,0.006441245,0.009661869,0.006441245
TTL_4_6,0.05017943,0.003584242,0.003584243,0.003584242
TTL_4_7,0.05017943,0.003584239,0.005376357,0.005376358
TTL_4_8,0.40322754,0.31899756,0.4283171,0.3207897
TTL_4_9,0.40287933,0.29856238,0.17625962,0.12050412
TTL_5_6,0.020525374,0.011494253,0.011494253,0.011494253
TTL_5_7,0.021611057,0.041257482,0.052062977,0.045186765
TTL_5_8,0.21807525,0.18369402,0.24066861,0.17780016
TTL_5_9,0.21730642,0.17502506,0.0580139,0.048181076
TTL_6_7,0.09268975,0.076864794,0.14393295,0.103239946
TTL_6_8,0.24415842,0.2185369,0.28937313,0.21326186
TTL_6_9,0.24377225,0.21509333,0.136603245,0.10943349
TTL_7_8,0.15358496,0.081395105,0.10610435,0.07364316
TTL_7_9,0.15291232,0.081553124,0.0917473,0.0733007
TTL_8_9,0.06476184,0.001666668,0.001666668,0.001666668
median,0.24389602,0.149724659,0.14281919,0.114048682
